category,price,discount,quantity,payment_method,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_days,order_year,order_month,order_day_of_week
Home,164.08,0.15,1,Credit Card,West,0,139.47,7.88,31.17,60,Female,4,2023,12,5
Grocery,24.73,0.0,1,Credit Card,South,0,24.73,4.6,-2.62,37,Male,6,2025,4,3
Electronics,175.58,0.05,1,Credit Card,North,0,166.8,6.58,13.44,34,Male,4,2024,10,1
Electronics,63.67,0.0,1,UPI,South,0,63.67,5.5,2.14,21,Female,6,2024,9,5
Home,16.33,0.15,1,COD,East,0,13.88,2.74,1.15,39,Male,6,2024,12,5
Beauty,53.91,0.1,2,Credit Card,South,0,97.04,6.32,37.35,35,Female,5,2024,4,6
Electronics,266.5,0.0,1,PayPal,East,0,266.5,9.1,22.88,49,Male,5,2025,5,1
Beauty,9.98,0.0,1,Credit Card,West,0,9.98,4.51,-0.02,66,Other,4,2023,9,3
Fashion,6.61,0.05,1,Debit Card,West,0,6.28,3.43,-1.23,37,Female,6,2023,10,0
Grocery,10.91,0.0,1,Credit Card,South,0,10.91,2.76,-1.89,56,Male,6,2023,10,1
Beauty,6.61,0.1,1,Debit Card,South,0,5.95,2.16,0.52,40,Female,5,2024,2,2
Beauty,16.22,0.0,1,PayPal,South,0,16.22,3.72,3.58,21,Other,5,2024,7,0
Grocery,10.56,0.1,1,Credit Card,West,0,9.5,4.99,-4.23,22,Female,4,2024,10,6
Toys,7.12,0.0,1,Debit Card,North,0,7.12,3.35,-0.5,56,Female,5,2023,11,2
Home,39.19,0.0,2,Credit Card,North,0,78.38,7.91,14.04,63,Male,3,2025,2,0
Home,12.63,0.2,4,Credit Card,North,0,40.42,6.19,5.13,36,Male,3,2024,5,4
Sports,96.61,0.05,1,PayPal,West,0,91.78,3.6,23.93,47,Male,4,2024,8,6
Fashion,16.0,0.0,3,PayPal,South,0,48.0,4.48,12.32,37,Male,5,2024,9,3
Electronics,734.32,0.0,2,Wallet,South,0,1468.64,10.9,165.34,58,Female,4,2025,6,4
Fashion,50.52,0.0,1,Credit Card,North,1,50.52,6.2,11.48,56,Male,3,2024,10,3
Toys,17.99,0.0,2,PayPal,West,0,35.98,5.56,8.83,64,Female,4,2024,5,4
Fashion,39.54,0.0,1,COD,North,0,39.54,5.3,8.54,49,Other,6,2024,11,3
Electronics,128.8,0.0,1,Debit Card,North,0,128.8,7.77,7.69,41,Female,4,2024,12,5
Fashion,176.45,0.0,1,Debit Card,South,0,176.45,6.67,55.09,34,Male,7,2025,5,4
Sports,345.57,0.15,2,Debit Card,Central,0,587.47,9.48,166.76,32,Female,5,2024,4,1
Beauty,12.49,0.0,3,UPI,East,0,37.47,5.46,11.4,49,Female,7,2024,8,5
Sports,157.21,0.15,1,Debit Card,South,0,133.63,6.75,33.34,20,Female,5,2025,8,1
Fashion,11.24,0.0,2,Debit Card,West,0,22.48,6.09,1.78,60,Female,4,2025,8,1
Grocery,20.97,0.0,2,PayPal,South,0,41.94,4.61,-1.25,61,Female,6,2024,5,0
Home,54.42,0.0,2,UPI,East,0,108.84,8.05,22.43,36,Female,6,2023,10,2
Home,54.93,0.15,1,Credit Card,South,0,46.69,5.74,7.33,44,Male,6,2023,11,6
Grocery,10.32,0.15,1,Debit Card,East,0,8.77,1.24,-0.54,32,Male,7,2024,4,0
Grocery,7.56,0.0,1,Credit Card,North,0,7.56,2.06,-1.46,61,Female,5,2023,12,5
Sports,22.33,0.05,1,Credit Card,South,0,21.21,4.26,2.1,26,Male,4,2024,8,1
Grocery,12.84,0.0,2,Debit Card,North,0,25.68,6.32,-4.27,21,Female,3,2024,8,3
Beauty,8.89,0.0,2,Credit Card,South,0,17.78,4.78,3.22,19,Female,4,2024,4,3
Fashion,33.9,0.0,2,Debit Card,South,0,67.8,4.98,18.75,28,Female,5,2025,5,1
Fashion,17.92,0.0,1,Credit Card,West,0,17.92,5.86,0.41,28,Male,5,2024,7,2
Beauty,50.75,0.0,2,Credit Card,West,0,101.5,6.46,39.22,46,Female,7,2025,2,3
Beauty,13.11,0.15,1,Credit Card,West,0,11.14,4.4,0.61,51,Female,6,2024,8,5
Home,297.65,0.1,1,UPI,South,0,267.88,7.49,67.52,20,Female,4,2023,12,5
Grocery,6.2,0.0,1,COD,West,0,6.2,2.5,-2.0,35,Male,4,2024,3,6
Home,36.05,0.0,2,COD,North,0,72.1,7.24,12.95,36,Female,4,2025,2,0
Fashion,47.26,0.15,1,UPI,South,0,40.17,4.94,9.12,48,Male,5,2023,10,1
Electronics,313.25,0.0,1,Debit Card,Central,0,313.25,8.96,28.63,53,Male,8,2024,9,4
Grocery,13.7,0.1,3,COD,West,0,36.99,4.09,-1.13,62,Male,4,2025,4,4
Toys,9.07,0.0,3,Debit Card,South,0,27.21,6.05,4.83,30,Female,5,2024,1,3
Beauty,12.45,0.0,2,Credit Card,West,0,24.9,5.18,6.02,58,Male,5,2025,5,5
Toys,7.33,0.0,1,Credit Card,North,0,7.33,3.86,-0.93,55,Female,5,2025,3,2
Toys,53.85,0.05,1,Credit Card,South,0,51.16,5.96,14.5,35,Female,5,2025,3,2
Grocery,16.12,0.0,1,COD,East,0,16.12,4.76,-3.47,66,Female,8,2025,7,0
Home,195.87,0.0,4,Credit Card,West,0,783.48,10.37,209.0,43,Female,5,2024,12,1
Beauty,8.29,0.0,1,PayPal,North,0,8.29,2.98,0.75,67,Male,4,2024,9,0
Electronics,402.13,0.0,2,PayPal,South,0,804.26,9.93,86.58,40,Female,5,2024,1,2
Grocery,19.94,0.05,1,Debit Card,East,0,18.94,4.96,-3.44,55,Female,6,2023,12,4
Grocery,6.52,0.0,2,Debit Card,South,0,13.04,4.73,-3.69,60,Male,5,2023,11,3
Toys,5.38,0.1,1,COD,Central,0,4.84,3.91,-1.97,57,Female,3,2023,12,0
Home,167.21,0.0,4,Wallet,North,0,668.84,8.88,178.4,37,Female,3,2023,12,2
Home,134.37,0.15,1,Wallet,Central,0,114.21,6.65,25.33,53,Male,3,2024,10,2
Home,122.85,0.0,3,COD,North,0,368.55,7.27,95.92,69,Female,4,2024,8,4
Fashion,14.91,0.0,1,UPI,West,0,14.91,4.93,0.29,69,Male,5,2024,12,6
Beauty,10.46,0.0,1,Credit Card,North,0,10.46,3.14,1.57,25,Other,4,2023,11,0
Electronics,368.67,0.0,1,Debit Card,West,0,368.67,9.91,34.33,36,Male,6,2024,6,2
Grocery,13.52,0.1,1,Debit Card,West,0,12.17,2.07,-1.1,22,Female,5,2025,6,1
Home,116.53,0.05,1,Credit Card,West,0,110.7,6.97,24.03,59,Male,4,2024,1,0
Grocery,20.24,0.0,1,COD,North,0,20.24,4.74,-3.12,65,Male,5,2025,6,0
Sports,175.75,0.15,1,Debit Card,West,0,149.39,6.15,38.67,58,Female,5,2025,9,2
Fashion,20.91,0.0,1,UPI,North,1,20.91,4.04,3.28,50,Male,4,2024,2,2
Fashion,13.43,0.0,4,PayPal,South,0,53.72,6.26,12.54,30,Male,4,2023,12,4
Grocery,3.96,0.2,1,PayPal,East,0,3.17,3.06,-2.81,44,Female,5,2023,11,2
Toys,8.5,0.0,2,Debit Card,South,0,17.0,3.51,3.29,25,Female,8,2024,5,3
Fashion,150.12,0.0,3,Debit Card,West,0,450.36,8.26,149.37,28,Female,4,2024,10,4
Electronics,97.95,0.1,1,Debit Card,East,0,88.16,6.72,3.86,53,Male,6,2024,9,5
Sports,217.48,0.0,1,Credit Card,South,0,217.48,7.67,57.57,24,Male,6,2025,2,0
Fashion,16.18,0.0,2,Credit Card,South,0,32.36,4.73,6.6,69,Male,4,2024,12,4
Fashion,26.06,0.05,3,COD,West,0,74.27,6.24,19.75,46,Other,5,2023,12,3
Sports,23.23,0.3,2,Credit Card,Central,0,32.52,5.1,4.66,31,Male,4,2025,2,3
Sports,20.73,0.0,2,COD,West,0,41.46,4.31,8.13,20,Female,5,2024,5,1
Home,23.16,0.0,1,UPI,Central,0,23.16,4.81,1.67,45,Male,3,2023,12,2
Grocery,6.53,0.0,4,Credit Card,North,0,26.12,6.21,-4.12,68,Male,3,2024,6,4
Sports,82.93,0.05,1,Wallet,West,0,78.78,8.3,15.33,59,Female,4,2024,3,2
Grocery,3.95,0.0,1,Wallet,West,0,3.95,2.63,-2.31,38,Female,4,2025,1,3
Fashion,137.66,0.0,1,UPI,South,0,137.66,7.01,41.17,50,Female,4,2025,4,6
Fashion,48.41,0.1,4,Credit Card,West,0,174.28,8.27,52.73,29,Female,6,2023,9,5
Electronics,753.1,0.05,1,Debit Card,South,0,715.44,10.44,75.41,28,Male,4,2024,6,5
Fashion,12.92,0.0,3,Wallet,South,0,38.76,6.83,6.74,20,Female,4,2025,8,0
Grocery,3.04,0.0,1,Debit Card,South,0,3.04,1.93,-1.69,59,Female,4,2024,6,2
Grocery,25.7,0.1,4,Credit Card,North,0,92.52,9.09,-1.69,32,Male,3,2024,6,1
Toys,18.51,0.05,1,PayPal,South,0,17.58,3.71,3.32,62,Female,5,2023,12,2
Beauty,71.36,0.15,1,Debit Card,South,0,60.66,5.34,21.96,34,Male,7,2024,7,4
Toys,5.12,0.0,1,UPI,West,0,5.12,1.8,0.25,59,Female,6,2025,2,6
